Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.043669482387243193e+02
4.663622929687500118e+02,-1.133107634825710761e+02
4.663625859375000005e+02,-1.126036279809355420e+02
4.663628789062499891e+02,-1.009910928207267631e+02
4.663631718750000346e+02,-9.400973182631764757e+01
4.663634648437500232e+02,-9.523011203812460224e+01
4.663637578125000118e+02,-9.118661800494784586e+01
4.663640507812500005e+02,-9.342928599553283675e+01
4.663643437499999891e+02,-1.051848449165594701e+02
4.663646367187500346e+02,-1.063810354120865327e+02
4.663649296875000232e+02,-1.015564487626455872e+02
4.663652226562500118e+02,-1.025481699962667079e+02
4.663655156250000005e+02,-1.103733775133589887e+02
4.663658085937499891e+02,-9.544880339369804290e+01
4.663661015625000346e+02,-9.154292914780623391e+01
4.663663945312500232e+02,-9.130509583246224281e+01
4.663666875000000118e+02,-9.258926467348751999e+01
4.663669804687500005e+02,-1.030052053886697507e+02
4.663672734374999891e+02,-1.054733821788436785e+02
4.663675664062500346e+02,-9.622928298719175189e+01
4.663678593750000232e+02,-9.262201826905068458e+01
4.663681523437500118e+02,-9.963993303087903541e+01
4.663684453125000005e+02,-1.029589262976726047e+02
4.663687382812499891e+02,-9.469939576072547993e+01
4.663690312500000346e+02,-9.375862293509024425e+01
4.663693242187500232e+02,-9.634721682602111059e+01
4.663696171875000118e+02,-9.778433369153165700e+01
4.663699101562500005e+02,-1.085133621037783058e+02
4.663702031249999891e+02,-1.016189910042580493e+02
4.663704960937500346e+02,-9.726267943256559079e+01
4.663707890625000232e+02,-9.515291010133425686e+01
4.663710820312500118e+02,-1.059752302930869803e+02
4.663713750000000005e+02,-9.611411752788391993e+01
4.663716679687499891e+02,-9.247454308501710329e+01
4.663719609375000346e+02,-9.823870958367140815e+01
4.663722539062500232e+02,-9.844611142346968791e+01
4.663725468750000118e+02,-1.034378950579529430e+02
4.663728398437500005e+02,-9.516539323918073023e+01
4.663731328124999891e+02,-1.028097496527652197e+02
4.663734257812500346e+02,-9.522605708369329136e+01
4.663737187500000232e+02,-1.021244917206306866e+02
4.663740117187500118e+02,-1.032365733576757947e+02
4.663743046875000005e+02,-9.433000809859984770e+01
4.663745976562499891e+02,-9.457857501407362122e+01
4.663748906250000346e+02,-9.554198746597489844e+01
4.663751835937500232e+02,-1.001973257248938296e+02
4.663754765625000118e+02,-9.372581203924583804e+01
4.663757695312500005e+02,-9.606801370983467336e+01
4.663760624999999891e+02,-9.768905486426240259e+01
4.663763554687500346e+02,-9.491364516127876527e+01
4.663766484375000232e+02,-9.792317552212705323e+01
4.663769414062500118e+02,-9.599907066923192644e+01
4.663772343750000005e+02,-9.563510524632596344e+01
4.663775273437499891e+02,-9.625116602531633703e+01
4.663778203125000346e+02,-9.883795865020451288e+01
4.663781132812500232e+02,-9.389789965823968032e+01
4.663784062500000118e+02,-9.655179889326717557e+01
4.663786992187500005e+02,-9.404625032672122131e+01
4.663789921874999891e+02,-9.199418682394085067e+01
4.663792851562500346e+02,-9.576475030767656449e+01
4.663795781250000232e+02,-9.516042478399785409e+01
4.663798710937500118e+02,-9.614810665274256962e+01
4.663801640625000005e+02,-9.962521572171962703e+01
4.663804570312499891e+02,-1.044949100463038008e+02
4.663807500000000346e+02,-9.474160590384084912e+01
4.663810429687500232e+02,-9.731582849411294944e+01
4.663813359375000118e+02,-9.367447409289690086e+01
4.663816289062500005e+02,-9.034735901105854339e+01
4.663819218749999891e+02,-9.601520725984326532e+01
4.663822148437500346e+02,-9.599664523986609765e+01
4.663825078125000232e+02,-9.903988994790287848e+01
4.663828007812500118e+02,-1.012969540815941798e+02
4.663830937500000005e+02,-1.276255964616417486e+02
4.663833867187499891e+02,-9.925795568787935963e+01
4.663836796875000346e+02,-1.048034383474270470e+02
4.663839726562500232e+02,-1.047055863794793851e+02
4.663842656250000118e+02,-9.128765479757191770e+01
4.663845585937500005e+02,-9.404036975335357340e+01
4.663848515624999891e+02,-9.732897422829368850e+01
4.663851445312500346e+02,-1.012396814258459870e+02
4.663854375000000232e+02,-1.016648499133558516e+02
4.663857304687500118e+02,-1.004497970035611587e+02
4.663860234375000005e+02,-9.946187592455416393e+01
4.663863164062499891e+02,-9.709894258583275928e+01
4.663866093750000346e+02,-9.813044949314533483e+01
4.663869023437500232e+02,-9.940956613246173390e+01
4.663871953125000118e+02,-9.499071331851499167e+01
4.663874882812500005e+02,-1.046427427730591120e+02
4.663877812499999891e+02,-9.795397792550932081e+01
4.663880742187500346e+02,-1.126415943544993894e+02
4.663883671875000232e+02,-1.124949173420626209e+02
4.663886601562500118e+02,-9.680695007168866084e+01
4.663889531250000005e+02,-9.652254035060587967e+01
4.663892460937499891e+02,-1.033158817394895124e+02
4.663895390625000346e+02,-1.062779646190901275e+02
4.663898320312500232e+02,-9.279335843960444663e+01
4.663901250000000118e+02,-9.315918069097622833e+01
4.663904179687500005e+02,-1.005285433664055006e+02
4.663907109374999891e+02,-1.060697210338638143e+02
4.663910039062500346e+02,-1.007196311669580950e+02
4.663912968750000232e+02,-1.043837933431196348e+02
4.663915898437500118e+02,-1.013244437512430096e+02
4.663918828125000005e+02,-1.134797302105471317e+02
4.663921757812499891e+02,-1.001054565365046045e+02
4.663924687500000346e+02,-9.926163887807062736e+01
4.663927617187500232e+02,-9.462640449353578731e+01
4.663930546875000118e+02,-1.028057155381491441e+02
4.663933476562500005e+02,-9.624945069227534589e+01
4.663936406249999891e+02,-1.069406366106646828e+02
4.663939335937500346e+02,-1.046715910823361781e+02
4.663942265625000232e+02,-1.070825830746341722e+02
4.663945195312500118e+02,-1.078668778052140738e+02
4.663948125000000005e+02,-9.567455617653402555e+01
4.663951054687499891e+02,-9.837608917279638376e+01
4.663953984375000346e+02,-9.403406011051779956e+01
4.663956914062500232e+02,-9.734108021866319405e+01
4.663959843750000118e+02,-9.408382261159701443e+01
4.663962773437500005e+02,-9.830140735700064170e+01
4.663965703124999891e+02,-1.214519807162085243e+02
4.663968632812500346e+02,-9.945124166029187052e+01
4.663971562500000232e+02,-9.712481419787992820e+01
4.663974492187500118e+02,-9.225901011037055355e+01
4.663977421875000005e+02,-9.084363610908090436e+01
4.663980351562499891e+02,-9.443082482730714844e+01
4.663983281250000346e+02,-9.678220139267975242e+01
4.663986210937500232e+02,-9.379229477218706279e+01
4.663989140625000118e+02,-9.962178641909871146e+01
4.663992070312500005e+02,-1.046793475659120389e+02
4.663994999999999891e+02,-9.733336143725507839e+01
4.663997929687500346e+02,-9.581865771866037562e+01
4.664000859375000232e+02,-9.525143637358038973e+01
