Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.001489504702824718e+02
4.663622929687500118e+02,-9.938481140309471584e+01
4.663625859375000005e+02,-9.871107214379870243e+01
4.663628789062499891e+02,-9.948606196533822299e+01
4.663631718750000346e+02,-9.640058418187311418e+01
4.663634648437500232e+02,-9.129431917485328540e+01
4.663637578125000118e+02,-8.747939764061268875e+01
4.663640507812500005e+02,-8.837849646330168696e+01
4.663643437499999891e+02,-9.315684792695313376e+01
4.663646367187500346e+02,-9.229631366943068826e+01
4.663649296875000232e+02,-1.001547217329510602e+02
4.663652226562500118e+02,-9.077233811567916177e+01
4.663655156250000005e+02,-9.406896138019402542e+01
4.663658085937499891e+02,-1.054101149527527639e+02
4.663661015625000346e+02,-9.889051072071922022e+01
4.663663945312500232e+02,-9.700008413706648014e+01
4.663666875000000118e+02,-9.276281109015653215e+01
4.663669804687500005e+02,-8.997913452930653477e+01
4.663672734374999891e+02,-9.122967506874665844e+01
4.663675664062500346e+02,-9.336098291082393530e+01
4.663678593750000232e+02,-9.542726052651717339e+01
4.663681523437500118e+02,-9.857004650350647523e+01
4.663684453125000005e+02,-1.112101330784355753e+02
4.663687382812499891e+02,-9.419425678446378924e+01
4.663690312500000346e+02,-9.007921022986610637e+01
4.663693242187500232e+02,-9.191801670050500661e+01
4.663696171875000118e+02,-9.682416721483279787e+01
4.663699101562500005e+02,-9.181509176651053394e+01
4.663702031249999891e+02,-9.275004918412703603e+01
4.663704960937500346e+02,-9.359123154084872453e+01
4.663707890625000232e+02,-1.048854580976948796e+02
4.663710820312500118e+02,-9.710582396045231235e+01
4.663713750000000005e+02,-9.599685385148720229e+01
4.663716679687499891e+02,-9.423424360141811462e+01
4.663719609375000346e+02,-9.717823177793883360e+01
4.663722539062500232e+02,-1.046645297229687088e+02
4.663725468750000118e+02,-9.651219574994577499e+01
4.663728398437500005e+02,-9.289389056168205627e+01
4.663731328124999891e+02,-9.416962128461182147e+01
4.663734257812500346e+02,-1.019136535996946122e+02
4.663737187500000232e+02,-1.000109235152095124e+02
4.663740117187500118e+02,-9.778460523476583433e+01
4.663743046875000005e+02,-9.184389265388114154e+01
4.663745976562499891e+02,-9.144660537294667790e+01
4.663748906250000346e+02,-1.054469151846075476e+02
4.663751835937500232e+02,-1.088235169296410021e+02
4.663754765625000118e+02,-1.121669030242831155e+02
4.663757695312500005e+02,-9.985963083637186344e+01
4.663760624999999891e+02,-1.043399845076600343e+02
4.663763554687500346e+02,-9.613097306276208087e+01
4.663766484375000232e+02,-9.793245056526060921e+01
4.663769414062500118e+02,-1.138295537738815568e+02
4.663772343750000005e+02,-9.354877423739488052e+01
4.663775273437499891e+02,-9.257571101904224520e+01
4.663778203125000346e+02,-9.404385609833953197e+01
4.663781132812500232e+02,-8.905862871452698926e+01
4.663784062500000118e+02,-9.112760016433755084e+01
4.663786992187500005e+02,-1.034879578574943650e+02
