Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.117256995385272944e+01
4.663622929687500118e+02,-8.824775747730001285e+01
4.663625859375000005e+02,-1.114916991517572029e+02
4.663628789062499891e+02,-8.833683502817137878e+01
4.663631718750000346e+02,-9.116131185710045770e+01
4.663634648437500232e+02,-9.170270723548287606e+01
4.663637578125000118e+02,-9.110410742540483398e+01
4.663640507812500005e+02,-9.520204297041851760e+01
4.663643437499999891e+02,-1.012652354949157427e+02
4.663646367187500346e+02,-9.981965184700656835e+01
4.663649296875000232e+02,-1.014251392973749546e+02
4.663652226562500118e+02,-9.739708725284920376e+01
4.663655156250000005e+02,-9.448619600439863575e+01
4.663658085937499891e+02,-9.116679344146861297e+01
4.663661015625000346e+02,-9.933831265722383819e+01
4.663663945312500232e+02,-8.681806469872654475e+01
4.663666875000000118e+02,-9.105712347546426599e+01
4.663669804687500005e+02,-1.026676688428587454e+02
4.663672734374999891e+02,-9.459582272165603456e+01
4.663675664062500346e+02,-1.015246258987040733e+02
4.663678593750000232e+02,-1.116087441064902208e+02
4.663681523437500118e+02,-9.796426220126008388e+01
4.663684453125000005e+02,-9.418694866524370468e+01
4.663687382812499891e+02,-1.017580076281473112e+02
4.663690312500000346e+02,-9.337540435229192326e+01
4.663693242187500232e+02,-9.176854221161934788e+01
4.663696171875000118e+02,-9.046820689746516564e+01
4.663699101562500005e+02,-9.127048889422502498e+01
4.663702031249999891e+02,-9.972030965916145817e+01
4.663704960937500346e+02,-9.862727263396003252e+01
4.663707890625000232e+02,-9.541327313738105431e+01
4.663710820312500118e+02,-9.666173436241660966e+01
4.663713750000000005e+02,-9.491817159674087634e+01
4.663716679687499891e+02,-9.907514826012024400e+01
4.663719609375000346e+02,-9.806430255273993168e+01
4.663722539062500232e+02,-1.015570535074496092e+02
4.663725468750000118e+02,-1.038365102816838856e+02
4.663728398437500005e+02,-1.142227947308876139e+02
4.663731328124999891e+02,-9.244322606127897757e+01
4.663734257812500346e+02,-8.897901144158007014e+01
4.663737187500000232e+02,-9.861289977393701633e+01
4.663740117187500118e+02,-9.968486001371738325e+01
4.663743046875000005e+02,-1.027261539515674258e+02
4.663745976562499891e+02,-9.912355669450309392e+01
4.663748906250000346e+02,-1.202406186225728391e+02
4.663751835937500232e+02,-9.611999780949160765e+01
4.663754765625000118e+02,-9.315267707631825544e+01
4.663757695312500005e+02,-9.779508681045335550e+01
4.663760624999999891e+02,-9.725268500676594385e+01
4.663763554687500346e+02,-9.180076468803750345e+01
4.663766484375000232e+02,-9.433186395117414236e+01
4.663769414062500118e+02,-1.028707882867303169e+02
4.663772343750000005e+02,-1.021817620271668972e+02
4.663775273437499891e+02,-9.457297106419329680e+01
4.663778203125000346e+02,-1.018943794539659109e+02
4.663781132812500232e+02,-9.707468638743324618e+01
4.663784062500000118e+02,-1.098397890489034978e+02
4.663786992187500005e+02,-1.064955887865932738e+02
4.663789921874999891e+02,-1.068167456882833903e+02
4.663792851562500346e+02,-9.875365161182193674e+01
4.663795781250000232e+02,-9.516402909990490855e+01
4.663798710937500118e+02,-9.695073330437386971e+01
4.663801640625000005e+02,-9.644258083685198812e+01
4.663804570312499891e+02,-1.018924937564510742e+02
4.663807500000000346e+02,-1.134433849244159376e+02
4.663810429687500232e+02,-9.874234026378908879e+01
4.663813359375000118e+02,-1.047985428192364452e+02
4.663816289062500005e+02,-9.568604392153113736e+01
4.663819218749999891e+02,-9.937289042247327586e+01
4.663822148437500346e+02,-9.708488657468407723e+01
4.663825078125000232e+02,-9.138301869959437340e+01
4.663828007812500118e+02,-9.121900698112952455e+01
4.663830937500000005e+02,-9.883222159533703177e+01
4.663833867187499891e+02,-9.915764210919489585e+01
4.663836796875000346e+02,-9.481076721207853097e+01
4.663839726562500232e+02,-9.504250631096859081e+01
4.663842656250000118e+02,-9.762416512406694835e+01
4.663845585937500005e+02,-1.133444026866497580e+02
4.663848515624999891e+02,-9.897196886965615192e+01
4.663851445312500346e+02,-1.010726967488591299e+02
4.663854375000000232e+02,-1.040379451181395893e+02
4.663857304687500118e+02,-9.516611219845516700e+01
4.663860234375000005e+02,-9.232854119855645081e+01
4.663863164062499891e+02,-8.964298181906022478e+01
4.663866093750000346e+02,-9.430140213754262390e+01
4.663869023437500232e+02,-9.687273481003570907e+01
4.663871953125000118e+02,-9.539856372796542416e+01
4.663874882812500005e+02,-9.375989639253393193e+01
4.663877812499999891e+02,-1.119085307963011644e+02
4.663880742187500346e+02,-9.333811993323720912e+01
4.663883671875000232e+02,-9.234396269120412626e+01
4.663886601562500118e+02,-1.146600099085623725e+02
4.663889531250000005e+02,-1.007956179214548342e+02
4.663892460937499891e+02,-9.185690400995400751e+01
4.663895390625000346e+02,-8.771981859432686690e+01
4.663898320312500232e+02,-8.915507187593647132e+01
4.663901250000000118e+02,-9.601917822612689690e+01
4.663904179687500005e+02,-9.779119290309273538e+01
4.663907109374999891e+02,-1.000568675691258420e+02
4.663910039062500346e+02,-9.855555900350820764e+01
4.663912968750000232e+02,-9.763946831357534961e+01
4.663915898437500118e+02,-9.457555857474136474e+01
4.663918828125000005e+02,-9.112790631762732119e+01
4.663921757812499891e+02,-9.311138289589439410e+01
4.663924687500000346e+02,-9.236848491963883134e+01
4.663927617187500232e+02,-8.865319381969499091e+01
4.663930546875000118e+02,-9.066586920307535991e+01
4.663933476562500005e+02,-9.175178472824201492e+01
4.663936406249999891e+02,-9.617698216111892862e+01
4.663939335937500346e+02,-9.648564304152711202e+01
4.663942265625000232e+02,-1.057520626719911974e+02
4.663945195312500118e+02,-9.802991876257833326e+01
4.663948125000000005e+02,-9.051992746389075251e+01
4.663951054687499891e+02,-9.030860002493353988e+01
4.663953984375000346e+02,-9.775101093306739131e+01
4.663956914062500232e+02,-1.021078724075102571e+02
4.663959843750000118e+02,-9.158432707957415175e+01
4.663962773437500005e+02,-8.986457124859254009e+01
4.663965703124999891e+02,-9.073461693684771490e+01
4.663968632812500346e+02,-9.040659131401827153e+01
4.663971562500000232e+02,-9.733710178905811006e+01
4.663974492187500118e+02,-9.671821006056745773e+01
4.663977421875000005e+02,-9.617322923351017039e+01
4.663980351562499891e+02,-1.031907547101870364e+02
4.663983281250000346e+02,-9.593263296292603570e+01
4.663986210937500232e+02,-9.194091638662195010e+01
4.663989140625000118e+02,-9.424030395561604223e+01
4.663992070312500005e+02,-9.871132333984859031e+01
4.663994999999999891e+02,-8.852794513210854177e+01
4.663997929687500346e+02,-8.813471450530840912e+01
4.664000859375000232e+02,-9.267272675033532892e+01
4.664003789062500118e+02,-9.034609765403982351e+01
4.664006718750000005e+02,-1.066602555636062846e+02
4.664009648437499891e+02,-9.569011098200883225e+01
4.664012578125000346e+02,-9.714026562095747863e+01
4.664015507812500232e+02,-9.559995053406086640e+01
4.664018437500000118e+02,-8.889904456575237646e+01
4.664021367187500005e+02,-9.054852986234470791e+01
4.664024296874999891e+02,-1.041259884227139025e+02
4.664027226562500346e+02,-9.132740326291727229e+01
4.664030156250000232e+02,-9.162185307646359433e+01
4.664033085937500118e+02,-9.705071095017046900e+01
4.664036015625000005e+02,-1.034165865731787761e+02
4.664038945312499891e+02,-9.424262523025413429e+01
4.664041875000000346e+02,-9.899462539611000977e+01
4.664044804687500232e+02,-8.893961255963259305e+01
4.664047734375000118e+02,-8.783645205434835646e+01
4.664050664062500005e+02,-1.016074799254439398e+02
4.664053593749999891e+02,-1.044553061552213080e+02
4.664056523437500346e+02,-1.045896503426315149e+02
4.664059453125000232e+02,-1.058684302452531938e+02
4.664062382812500118e+02,-1.001167780096401998e+02
4.664065312500000005e+02,-9.714607558278612487e+01
4.664068242187499891e+02,-9.628044879282927582e+01
4.664071171875000346e+02,-1.119415355155253735e+02
4.664074101562500232e+02,-9.194232818613693325e+01
4.664077031250000118e+02,-9.726545842895278327e+01
4.664079960937500005e+02,-9.098194992405214521e+01
4.664082890624999891e+02,-9.804139732697601062e+01
4.664085820312500346e+02,-1.017966380681180425e+02
4.664088750000000232e+02,-9.976035904727325487e+01
4.664091679687500118e+02,-1.038750999927263905e+02
4.664094609375000005e+02,-9.788196942001005141e+01
4.664097539062499891e+02,-9.735677343337142986e+01
4.664100468750000346e+02,-1.028627328548346611e+02
4.664103398437500232e+02,-1.056225471297346701e+02
4.664106328125000118e+02,-9.928677949472394459e+01
4.664109257812500005e+02,-9.603097396738314728e+01
4.664112187499999891e+02,-9.942607064891572577e+01
4.664115117187500346e+02,-9.171957506458463172e+01
4.664118046875000232e+02,-9.354031752767309627e+01
4.664120976562500118e+02,-9.806314268900665354e+01
4.664123906250000005e+02,-9.495860881531851305e+01
4.664126835937499891e+02,-9.397686760248842575e+01
4.664129765625000346e+02,-1.047412457958447050e+02
4.664132695312500232e+02,-1.061737166810418955e+02
4.664135625000000118e+02,-9.335131567340278025e+01
4.664138554687500005e+02,-8.968790722418634687e+01
4.664141484374999891e+02,-8.988350030979648864e+01
4.664144414062500346e+02,-9.684812220589731169e+01
4.664147343750000232e+02,-9.856385276059263845e+01
4.664150273437500118e+02,-9.472196561071955045e+01
4.664153203125000005e+02,-9.311148013323946770e+01
4.664156132812499891e+02,-9.584252290174312350e+01
4.664159062500000346e+02,-9.668543020758178841e+01
4.664161992187500232e+02,-1.076383578016563405e+02
4.664164921875000118e+02,-9.494355522354618415e+01
4.664167851562500005e+02,-9.477825728438483566e+01
4.664170781249999891e+02,-9.714610921718156078e+01
4.664173710937500346e+02,-1.036620845363997603e+02
4.664176640625000232e+02,-9.781701740912039611e+01
4.664179570312500118e+02,-9.493760591731286524e+01
4.664182500000000005e+02,-9.632806608476522570e+01
4.664185429687499891e+02,-1.046604831547408310e+02
4.664188359375000346e+02,-9.761119823415089058e+01
4.664191289062500232e+02,-1.063530310979486018e+02
4.664194218750000118e+02,-8.815035282231363567e+01
4.664197148437500005e+02,-9.850239733591770630e+01
4.664200078124999891e+02,-9.593325693666679399e+01
4.664203007812500346e+02,-9.433540722549481927e+01
