Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-8.444066775579338469e+01
4.663622929687500118e+02,-8.475403283061660886e+01
4.663625859375000005e+02,-8.974532177377746223e+01
4.663628789062499891e+02,-8.747517572663932128e+01
4.663631718750000346e+02,-8.550316786277176107e+01
4.663634648437500232e+02,-8.814321440253229412e+01
4.663637578125000118e+02,-8.831582853767655195e+01
4.663640507812500005e+02,-9.766138459562456831e+01
4.663643437499999891e+02,-8.807612465126385359e+01
4.663646367187500346e+02,-9.134763737214824175e+01
4.663649296875000232e+02,-9.182646411914576845e+01
4.663652226562500118e+02,-8.500568802293015835e+01
4.663655156250000005e+02,-9.329827340392193946e+01
4.663658085937499891e+02,-9.809369503135512502e+01
4.663661015625000346e+02,-9.313819631383123010e+01
4.663663945312500232e+02,-1.034533609123158726e+02
4.663666875000000118e+02,-9.130093756069358335e+01
4.663669804687500005e+02,-9.404221636963448816e+01
4.663672734374999891e+02,-9.039518705203194315e+01
4.663675664062500346e+02,-8.715993672858695618e+01
4.663678593750000232e+02,-9.428307321170476030e+01
4.663681523437500118e+02,-8.867053848037868136e+01
4.663684453125000005e+02,-8.852947813979341163e+01
4.663687382812499891e+02,-8.595618128096191413e+01
4.663690312500000346e+02,-8.921252877015376725e+01
4.663693242187500232e+02,-8.682825929028281564e+01
4.663696171875000118e+02,-8.511846029025163318e+01
4.663699101562500005e+02,-8.703780663587401989e+01
4.663702031249999891e+02,-8.857571354852622392e+01
4.663704960937500346e+02,-9.453428851817017176e+01
4.663707890625000232e+02,-9.403069537119691290e+01
4.663710820312500118e+02,-8.835360583995118589e+01
4.663713750000000005e+02,-8.626706999661250563e+01
4.663716679687499891e+02,-8.269907990227312666e+01
4.663719609375000346e+02,-8.408724911096010146e+01
4.663722539062500232e+02,-8.427352786657638717e+01
4.663725468750000118e+02,-8.171761634885170622e+01
4.663728398437500005e+02,-8.500893830756970715e+01
4.663731328124999891e+02,-8.914960472886691889e+01
4.663734257812500346e+02,-8.468139126570730468e+01
4.663737187500000232e+02,-8.396465345825373561e+01
4.663740117187500118e+02,-9.549347678243438509e+01
4.663743046875000005e+02,-8.473561753641499195e+01
4.663745976562499891e+02,-9.490557857652174789e+01
4.663748906250000346e+02,-8.906323254596955508e+01
4.663751835937500232e+02,-8.669835743118366622e+01
4.663754765625000118e+02,-8.889314985110658540e+01
4.663757695312500005e+02,-8.818901414230262503e+01
4.663760624999999891e+02,-1.045276343058171022e+02
