Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-9.521569244070113314e+01
4.663622929687500118e+02,-1.017218132475047980e+02
4.663625859375000005e+02,-9.941646474352984342e+01
4.663628789062499891e+02,-9.552250971160431448e+01
4.663631718750000346e+02,-9.881241635154589176e+01
4.663634648437500232e+02,-9.915388356175131435e+01
4.663637578125000118e+02,-1.076036521960155170e+02
4.663640507812500005e+02,-9.955115304786518493e+01
4.663643437499999891e+02,-9.590042820685732750e+01
4.663646367187500346e+02,-9.671043028422482735e+01
4.663649296875000232e+02,-9.157023188689697690e+01
4.663652226562500118e+02,-8.981447922077111912e+01
4.663655156250000005e+02,-9.345692233475716648e+01
4.663658085937499891e+02,-9.704380082792465601e+01
4.663661015625000346e+02,-9.629312335570858750e+01
4.663663945312500232e+02,-1.088770806299807390e+02
4.663666875000000118e+02,-9.992597724738068621e+01
4.663669804687500005e+02,-1.022641018722031276e+02
4.663672734374999891e+02,-1.044461769352153766e+02
4.663675664062500346e+02,-9.589926162665184961e+01
4.663678593750000232e+02,-9.686446088552102651e+01
4.663681523437500118e+02,-1.084475042259557966e+02
4.663684453125000005e+02,-1.026687858857112303e+02
4.663687382812499891e+02,-9.767728844663155030e+01
4.663690312500000346e+02,-9.463920215273732595e+01
4.663693242187500232e+02,-9.874232170609087689e+01
4.663696171875000118e+02,-9.635395694311699799e+01
4.663699101562500005e+02,-9.755622852679931611e+01
4.663702031249999891e+02,-9.997280885133805839e+01
4.663704960937500346e+02,-1.058160862863036016e+02
4.663707890625000232e+02,-9.574085341303243979e+01
4.663710820312500118e+02,-1.094085840218064618e+02
4.663713750000000005e+02,-9.545193799533845436e+01
4.663716679687499891e+02,-9.678123808646051884e+01
4.663719609375000346e+02,-1.057315032383309585e+02
4.663722539062500232e+02,-1.045002200232606810e+02
4.663725468750000118e+02,-9.776945484941789744e+01
4.663728398437500005e+02,-9.773855869001374685e+01
4.663731328124999891e+02,-1.052896434378361477e+02
4.663734257812500346e+02,-9.814001643245052264e+01
4.663737187500000232e+02,-9.837871222502435842e+01
4.663740117187500118e+02,-9.537302672749548549e+01
4.663743046875000005e+02,-9.665940332834459525e+01
4.663745976562499891e+02,-1.052620984300184546e+02
4.663748906250000346e+02,-1.025495532601455295e+02
4.663751835937500232e+02,-1.004637585591440683e+02
4.663754765625000118e+02,-1.130578460137208765e+02
4.663757695312500005e+02,-9.811414137284299386e+01
4.663760624999999891e+02,-9.470949833353162717e+01
4.663763554687500346e+02,-9.965267926102208662e+01
4.663766484375000232e+02,-9.924733807143020670e+01
4.663769414062500118e+02,-9.978655568261827113e+01
4.663772343750000005e+02,-9.966168264951177491e+01
4.663775273437499891e+02,-1.022051667229412431e+02
4.663778203125000346e+02,-9.587690405099381508e+01
4.663781132812500232e+02,-9.257785125297590412e+01
4.663784062500000118e+02,-9.517471078216608760e+01
4.663786992187500005e+02,-9.757283886174171528e+01
4.663789921874999891e+02,-9.618462358316523364e+01
4.663792851562500346e+02,-1.074228326185418325e+02
4.663795781250000232e+02,-9.647562770284946509e+01
4.663798710937500118e+02,-9.455569528470270768e+01
4.663801640625000005e+02,-1.006635938405598694e+02
4.663804570312499891e+02,-1.042045831117088426e+02
4.663807500000000346e+02,-1.025857669260268779e+02
4.663810429687500232e+02,-9.749196009893081794e+01
4.663813359375000118e+02,-1.115060404297306462e+02
4.663816289062500005e+02,-1.043055238026856415e+02
4.663819218749999891e+02,-1.083858260523010415e+02
4.663822148437500346e+02,-1.012715523354520712e+02
4.663825078125000232e+02,-1.009801259994465852e+02
4.663828007812500118e+02,-1.080452719286854517e+02
4.663830937500000005e+02,-1.064621536102690698e+02
4.663833867187499891e+02,-1.001643667945083394e+02
4.663836796875000346e+02,-1.028544652370922705e+02
4.663839726562500232e+02,-9.918623855309654402e+01
4.663842656250000118e+02,-9.437298383268775126e+01
4.663845585937500005e+02,-9.518687553172740934e+01
4.663848515624999891e+02,-9.529059678459998395e+01
4.663851445312500346e+02,-1.191127754600275068e+02
4.663854375000000232e+02,-9.938278178721463973e+01
4.663857304687500118e+02,-1.021062712581419305e+02
4.663860234375000005e+02,-1.036441336620824814e+02
4.663863164062499891e+02,-9.441989663724652360e+01
4.663866093750000346e+02,-9.820257169981360335e+01
4.663869023437500232e+02,-1.002386318931515063e+02
4.663871953125000118e+02,-1.060042601943016791e+02
4.663874882812500005e+02,-9.784297242381063597e+01
4.663877812499999891e+02,-1.000361067705678124e+02
4.663880742187500346e+02,-1.076759695607184426e+02
4.663883671875000232e+02,-9.842973897655463134e+01
4.663886601562500118e+02,-1.008676653092164202e+02
4.663889531250000005e+02,-1.137596565746169972e+02
4.663892460937499891e+02,-9.934509327502533438e+01
4.663895390625000346e+02,-9.685231743593087117e+01
4.663898320312500232e+02,-1.102906629458111922e+02
4.663901250000000118e+02,-9.549104191185035972e+01
4.663904179687500005e+02,-9.344023024926070775e+01
4.663907109374999891e+02,-1.085835639911390871e+02
4.663910039062500346e+02,-9.824723882931905905e+01
4.663912968750000232e+02,-1.017584058482621714e+02
4.663915898437500118e+02,-9.446198853663941009e+01
4.663918828125000005e+02,-9.416154109564745056e+01
