Frequency_MHz,Power_dBHz
4.663620000000000232e+02,-1.060109283960300957e+02
4.663622929687500118e+02,-1.042778537624428452e+02
4.663625859375000005e+02,-1.023778229358674707e+02
4.663628789062499891e+02,-9.909402649640121297e+01
4.663631718750000346e+02,-9.968497706042458617e+01
4.663634648437500232e+02,-1.023163933554527887e+02
4.663637578125000118e+02,-9.842374766565021105e+01
4.663640507812500005e+02,-1.075596100095884822e+02
4.663643437499999891e+02,-1.187797812404525928e+02
4.663646367187500346e+02,-1.131472740375656940e+02
4.663649296875000232e+02,-1.041336320926243957e+02
4.663652226562500118e+02,-1.058354591518321968e+02
4.663655156250000005e+02,-1.064880987809059718e+02
4.663658085937499891e+02,-1.037688955539854732e+02
4.663661015625000346e+02,-9.947673281055459427e+01
4.663663945312500232e+02,-9.699547809970596290e+01
4.663666875000000118e+02,-1.013013801336337281e+02
4.663669804687500005e+02,-1.046269449025874962e+02
4.663672734374999891e+02,-1.035656949969887535e+02
4.663675664062500346e+02,-1.006989765843011639e+02
4.663678593750000232e+02,-9.983780544715312999e+01
4.663681523437500118e+02,-1.004332918206276588e+02
4.663684453125000005e+02,-1.074126678200770186e+02
4.663687382812499891e+02,-1.070363281726837670e+02
4.663690312500000346e+02,-1.074350691814912864e+02
4.663693242187500232e+02,-1.041610258637697228e+02
4.663696171875000118e+02,-9.891746409953931618e+01
4.663699101562500005e+02,-1.007634396111060369e+02
4.663702031249999891e+02,-1.028136481675367691e+02
4.663704960937500346e+02,-1.003385578491054275e+02
4.663707890625000232e+02,-9.906168495932588769e+01
4.663710820312500118e+02,-1.020004421145285534e+02
4.663713750000000005e+02,-1.082978886346818825e+02
4.663716679687499891e+02,-1.191060475714638187e+02
4.663719609375000346e+02,-1.112831544024160877e+02
4.663722539062500232e+02,-1.012358202518873043e+02
4.663725468750000118e+02,-1.230271372871796842e+02
4.663728398437500005e+02,-1.116444729717548796e+02
4.663731328124999891e+02,-1.093002633589685786e+02
4.663734257812500346e+02,-1.021956441559082691e+02
4.663737187500000232e+02,-1.043336723478319215e+02
4.663740117187500118e+02,-1.114300189596923758e+02
4.663743046875000005e+02,-9.616071964265765359e+01
4.663745976562499891e+02,-9.728666402645272626e+01
4.663748906250000346e+02,-9.587834436624481782e+01
4.663751835937500232e+02,-9.813658631131454513e+01
4.663754765625000118e+02,-1.056257397100395679e+02
4.663757695312500005e+02,-9.644929199585575930e+01
4.663760624999999891e+02,-1.049898598193298085e+02
4.663763554687500346e+02,-1.116567226425550672e+02
4.663766484375000232e+02,-1.189329929245477899e+02
4.663769414062500118e+02,-1.013269507871545869e+02
4.663772343750000005e+02,-9.677588476512623572e+01
4.663775273437499891e+02,-1.001867141249427391e+02
4.663778203125000346e+02,-1.081744789080141658e+02
4.663781132812500232e+02,-1.076450722648224030e+02
4.663784062500000118e+02,-1.137665313320554503e+02
4.663786992187500005e+02,-1.023448570529145059e+02
4.663789921874999891e+02,-9.778728052706897245e+01
4.663792851562500346e+02,-9.827038502117568441e+01
4.663795781250000232e+02,-1.003324946035189953e+02
4.663798710937500118e+02,-9.573570311284987611e+01
4.663801640625000005e+02,-9.707102606897363728e+01
4.663804570312499891e+02,-9.643460862890323426e+01
4.663807500000000346e+02,-9.881013609123343144e+01
4.663810429687500232e+02,-1.001135334068626435e+02
4.663813359375000118e+02,-1.033105559316855562e+02
4.663816289062500005e+02,-1.012661627648839726e+02
4.663819218749999891e+02,-1.032845647807541241e+02
4.663822148437500346e+02,-1.064111351685185838e+02
4.663825078125000232e+02,-1.056055866741831295e+02
4.663828007812500118e+02,-1.030746995940215811e+02
4.663830937500000005e+02,-1.023193364215309202e+02
4.663833867187499891e+02,-1.091125001411619024e+02
4.663836796875000346e+02,-1.009146632939621782e+02
4.663839726562500232e+02,-9.822315626043284453e+01
4.663842656250000118e+02,-9.624489856936101262e+01
4.663845585937500005e+02,-9.872905737667764470e+01
4.663848515624999891e+02,-9.760386224744573269e+01
4.663851445312500346e+02,-9.771178784393558203e+01
4.663854375000000232e+02,-9.941605585174366411e+01
4.663857304687500118e+02,-9.734842331126822046e+01
4.663860234375000005e+02,-9.896789533955595175e+01
4.663863164062499891e+02,-1.039509253446998258e+02
4.663866093750000346e+02,-1.153580121069388156e+02
4.663869023437500232e+02,-1.026508208411982679e+02
4.663871953125000118e+02,-1.027665674606047901e+02
4.663874882812500005e+02,-1.043468684214588222e+02
4.663877812499999891e+02,-9.871939540419816694e+01
4.663880742187500346e+02,-1.017735174172411092e+02
4.663883671875000232e+02,-1.105146595029689962e+02
4.663886601562500118e+02,-9.991396229635751070e+01
4.663889531250000005e+02,-1.031955420985076728e+02
4.663892460937499891e+02,-1.016524611118713324e+02
4.663895390625000346e+02,-9.764246198389328413e+01
4.663898320312500232e+02,-9.496772635669819351e+01
4.663901250000000118e+02,-9.657975360391553465e+01
4.663904179687500005e+02,-9.677502143308701932e+01
4.663907109374999891e+02,-9.913748195209122116e+01
4.663910039062500346e+02,-1.102436309403914692e+02
4.663912968750000232e+02,-1.068814278111031371e+02
4.663915898437500118e+02,-1.112705529151211010e+02
4.663918828125000005e+02,-1.053067905203641885e+02
4.663921757812499891e+02,-1.044919536918479253e+02
4.663924687500000346e+02,-1.072085459031441985e+02
4.663927617187500232e+02,-1.033942111051893846e+02
4.663930546875000118e+02,-1.016166761592325116e+02
4.663933476562500005e+02,-1.039712953074764670e+02
4.663936406249999891e+02,-1.086226974970819157e+02
4.663939335937500346e+02,-9.869298614254788049e+01
4.663942265625000232e+02,-9.974778746740835800e+01
4.663945195312500118e+02,-1.042491468973848470e+02
4.663948125000000005e+02,-1.205854760620596409e+02
4.663951054687499891e+02,-1.023666634272696427e+02
4.663953984375000346e+02,-1.094445296089068336e+02
4.663956914062500232e+02,-1.044827692184920238e+02
4.663959843750000118e+02,-1.024323834332854943e+02
4.663962773437500005e+02,-1.096068134724002618e+02
4.663965703124999891e+02,-1.013166386903670002e+02
4.663968632812500346e+02,-1.008404006671251665e+02
4.663971562500000232e+02,-1.000904750702848673e+02
4.663974492187500118e+02,-1.065539061450643175e+02
4.663977421875000005e+02,-1.120788497661869343e+02
4.663980351562499891e+02,-1.027943159842358227e+02
4.663983281250000346e+02,-1.051397093247840644e+02
4.663986210937500232e+02,-9.653091565291644827e+01
4.663989140625000118e+02,-9.701969678048834567e+01
4.663992070312500005e+02,-1.016374649200938904e+02
4.663994999999999891e+02,-1.049451622748410387e+02
4.663997929687500346e+02,-1.051671374549329414e+02
4.664000859375000232e+02,-1.111798697600229247e+02
4.664003789062500118e+02,-1.063993378546999367e+02
4.664006718750000005e+02,-1.022561379309554894e+02
4.664009648437499891e+02,-1.124625365648925595e+02
4.664012578125000346e+02,-1.063943032658099810e+02
4.664015507812500232e+02,-1.068128303263698484e+02
4.664018437500000118e+02,-1.029101335750607547e+02
4.664021367187500005e+02,-1.041538364427309205e+02
4.664024296874999891e+02,-1.041809000964866385e+02
4.664027226562500346e+02,-9.927208039872840573e+01
4.664030156250000232e+02,-1.016846308196383859e+02
4.664033085937500118e+02,-9.688449029236127785e+01
4.664036015625000005e+02,-9.276319006147912205e+01
4.664038945312499891e+02,-9.572319655694195717e+01
4.664041875000000346e+02,-9.717744508887727761e+01
4.664044804687500232e+02,-9.765194890762131763e+01
4.664047734375000118e+02,-1.005501634256605570e+02
4.664050664062500005e+02,-1.173763259737970088e+02
4.664053593749999891e+02,-9.550287880574799715e+01
4.664056523437500346e+02,-9.751054940047964692e+01
4.664059453125000232e+02,-1.189363657397017704e+02
4.664062382812500118e+02,-1.117459983964187131e+02
4.664065312500000005e+02,-1.067982305695124836e+02
4.664068242187499891e+02,-1.071733319433393774e+02
4.664071171875000346e+02,-1.011605760103668530e+02
4.664074101562500232e+02,-9.758815223658631055e+01
4.664077031250000118e+02,-9.639409224978891189e+01
4.664079960937500005e+02,-1.038728254571571199e+02
4.664082890624999891e+02,-1.038904545214046777e+02
4.664085820312500346e+02,-9.727810719118744487e+01
4.664088750000000232e+02,-9.219601096017383668e+01
4.664091679687500118e+02,-9.583111956837022660e+01
4.664094609375000005e+02,-1.028252548867838101e+02
4.664097539062499891e+02,-9.714386145377524429e+01
4.664100468750000346e+02,-9.686236768825244781e+01
